,DF_All$Datetime,b
1,2/23/2020 4:00,NNW
2,2/23/2020 5:00,NNW
3,2/23/2020 6:00,NNW
4,2/23/2020 7:00,NNW
5,2/23/2020 8:00,NNW
6,2/23/2020 9:00,NNW
7,2/23/2020 10:00,NNW
8,2/23/2020 11:00,NNW
9,2/24/2020 0:00,NNW
10,2/24/2020 1:00,NNW
11,2/24/2020 2:00,NNW
12,2/24/2020 3:00,NNW
13,2/24/2020 4:00,NNW
14,2/24/2020 5:00,NNW
15,2/24/2020 6:00,NNW
16,2/24/2020 7:00,NNW
17,2/24/2020 8:00,NNW
18,2/24/2020 9:00,NNW
19,2/24/2020 10:00,NNW
20,2/24/2020 11:00,NNW
21,2/25/2020 0:00,NNW
22,2/25/2020 1:00,NNW
23,2/25/2020 2:00,NNW
24,2/25/2020 3:00,NNW
25,2/25/2020 4:00,NNW
26,2/25/2020 5:00,NNW
27,2/25/2020 6:00,NNW
28,2/25/2020 7:00,NNW
29,2/25/2020 8:00,NNW
30,2/25/2020 9:00,NNW
31,2/25/2020 10:00,NNW
32,2/25/2020 11:00,NNW
33,2/26/2020 0:00,NNW
34,2/26/2020 1:00,NNW
35,2/26/2020 2:00,NNW
36,2/26/2020 3:00,NNW
37,2/26/2020 4:00,NNW
38,2/26/2020 5:00,NNW
39,2/26/2020 6:00,NNW
40,2/26/2020 7:00,NNW
41,2/26/2020 8:00,NNW
42,2/26/2020 9:00,NNW
43,2/26/2020 10:00,NNW
44,2/26/2020 11:00,NNW
45,2/27/2020 0:00,NNW
46,2/27/2020 1:00,NNW
47,2/27/2020 2:00,NNW
48,2/27/2020 3:00,NNW
49,2/27/2020 4:00,NNW
50,2/27/2020 5:00,NNW
51,2/27/2020 6:00,NNW
52,2/27/2020 7:00,NNW
53,2/27/2020 8:00,NNW
54,2/27/2020 9:00,NNW
55,2/27/2020 10:00,NNW
56,2/27/2020 11:00,NNW
57,2/28/2020 0:00,NNW
58,2/28/2020 1:00,NNW
59,2/28/2020 2:00,NNW
60,2/28/2020 3:00,NNW
61,2/28/2020 4:00,NNW
62,2/28/2020 5:00,NNW
63,2/28/2020 6:00,NNW
64,2/28/2020 7:00,NNW
65,2/28/2020 8:00,NNW
66,2/28/2020 9:00,NNW
67,2/28/2020 10:00,NNW
68,2/28/2020 11:00,NNW
69,2/29/2020 0:00,NNW
70,2/29/2020 1:00,NNW
71,2/29/2020 2:00,NNW
72,2/29/2020 3:00,NNW
73,2/29/2020 4:00,NNW
74,2/29/2020 5:00,NNW
75,2/29/2020 6:00,NNW
76,2/29/2020 7:00,NNW
77,2/29/2020 8:00,NNW
78,2/29/2020 9:00,NNW
79,2/29/2020 10:00,NNW
80,2/29/2020 11:00,NNW
81,3/1/2020 0:00,NNW
82,3/1/2020 1:00,NNW
83,3/1/2020 2:00,NNW
84,3/1/2020 3:00,NNW
85,3/1/2020 4:00,NNW
86,3/1/2020 5:00,NNW
87,3/1/2020 6:00,NNW
88,3/1/2020 7:00,NNW
89,3/1/2020 8:00,NNW
90,3/1/2020 9:00,NNW
91,3/1/2020 10:00,NNW
92,3/1/2020 11:00,NNW
93,4/5/2020 0:00,NNW
94,4/5/2020 1:00,NNW
95,4/5/2020 2:00,NNW
96,4/5/2020 3:00,NNW
97,4/5/2020 4:00,NNW
98,4/5/2020 5:00,NNW
99,4/5/2020 6:00,NNW
100,4/5/2020 7:00,NNW
101,4/5/2020 8:00,NNW
102,4/5/2020 9:00,NNW
103,4/5/2020 10:00,NNW
104,4/5/2020 11:00,NNW
105,4/6/2020 0:00,NNW
106,4/6/2020 1:00,NNW
107,4/6/2020 2:00,NNW
108,4/6/2020 3:00,NNW
109,4/6/2020 4:00,NNW
110,4/6/2020 5:00,NNW
111,4/6/2020 6:00,NNW
112,4/6/2020 7:00,NNW
113,4/6/2020 8:00,NNW
114,4/6/2020 9:00,NNW
115,4/6/2020 10:00,NNW
116,4/6/2020 11:00,NNW
117,4/7/2020 0:00,NNW
118,4/7/2020 1:00,NNW
119,4/7/2020 2:00,NNW
120,4/7/2020 3:00,NNW
121,4/7/2020 4:00,NNW
122,4/7/2020 5:00,NNW
123,4/7/2020 6:00,NNW
124,4/7/2020 7:00,NNW
125,4/7/2020 8:00,NNW
126,4/7/2020 9:00,NNW
127,4/7/2020 10:00,NNW
128,4/7/2020 11:00,NNW
129,4/8/2020 0:00,NNW
130,4/8/2020 1:00,NNW
131,4/8/2020 2:00,NNW
132,4/8/2020 3:00,NNW
133,4/8/2020 4:00,NNW
134,4/8/2020 5:00,NNW
135,4/8/2020 6:00,NNW
136,4/8/2020 7:00,NNW
137,4/8/2020 8:00,NNW
138,4/8/2020 9:00,NNW
139,4/8/2020 10:00,NNW
140,4/8/2020 11:00,NNW
141,4/9/2020 0:00,NNW
142,4/9/2020 1:00,NNW
143,4/9/2020 2:00,NNW
144,4/9/2020 3:00,NNW
145,4/9/2020 4:00,NNW
146,4/9/2020 5:00,NNW
147,4/9/2020 6:00,NNW
148,4/9/2020 7:00,NNW
149,4/9/2020 8:00,NNW
150,4/9/2020 9:00,NNW
151,4/9/2020 10:00,NNW
152,4/9/2020 11:00,NNW
153,4/10/2020 0:00,NNW
154,4/10/2020 1:00,NNW
155,4/10/2020 2:00,NNW
156,4/10/2020 3:00,NNW
157,4/10/2020 4:00,NNW
158,4/10/2020 5:00,NNW
159,4/10/2020 6:00,NNW
160,4/10/2020 7:00,NNW
161,4/10/2020 8:00,NNW
162,4/10/2020 9:00,NNW
163,4/10/2020 10:00,NNW
164,4/10/2020 11:00,NNW
165,4/11/2020 0:00,NNW
166,4/11/2020 1:00,NNW
167,4/11/2020 2:00,NNW
168,4/11/2020 3:00,NNW
169,4/11/2020 4:00,NNW
170,4/11/2020 5:00,NNW
171,4/11/2020 6:00,NNW
172,4/11/2020 7:00,NNW
173,4/11/2020 8:00,NNW
174,4/11/2020 9:00,NNW
175,4/11/2020 10:00,NNW
176,4/11/2020 11:00,NNW
177,4/12/2020 0:00,NNW
178,4/12/2020 1:00,NNW
179,4/12/2020 2:00,NNW
180,4/12/2020 3:00,NNW
181,4/12/2020 4:00,NNW
182,4/12/2020 5:00,NNW
183,4/12/2020 6:00,NNW
184,4/12/2020 7:00,NNW
185,4/12/2020 8:00,NNW
186,4/12/2020 9:00,NNW
187,4/12/2020 10:00,NNW
188,4/12/2020 11:00,NNW
189,4/25/2020 0:00,NNW
190,4/25/2020 1:00,NNW
191,4/25/2020 2:00,NNW
192,4/25/2020 3:00,NNW
193,4/25/2020 4:00,NNW
194,4/25/2020 5:00,NNW
195,4/25/2020 6:00,NNW
196,4/25/2020 7:00,NNW
197,4/25/2020 8:00,NNW
198,4/25/2020 9:00,NNW
199,4/25/2020 10:00,NNW
200,4/25/2020 11:00,NNW
201,4/26/2020 0:00,NNW
202,4/26/2020 1:00,NNW
203,4/26/2020 2:00,NNW
204,4/26/2020 3:00,NNW
205,4/26/2020 4:00,NNW
206,4/26/2020 5:00,NNW
207,4/26/2020 6:00,NNW
208,4/26/2020 7:00,NNW
209,4/26/2020 8:00,NNW
210,4/26/2020 9:00,NNW
211,4/26/2020 10:00,NNW
212,4/26/2020 11:00,NNW
213,4/27/2020 0:00,NNW
214,4/27/2020 1:00,NNW
215,4/27/2020 2:00,NNW
216,4/27/2020 3:00,NNW
217,4/27/2020 4:00,NNW
218,4/27/2020 5:00,NNW
219,4/27/2020 6:00,NNW
220,4/27/2020 7:00,NNW
221,4/27/2020 8:00,NNW
222,4/27/2020 9:00,NNW
223,4/27/2020 10:00,NNW
224,4/27/2020 11:00,NNW
225,4/28/2020 0:00,NNW
226,4/28/2020 1:00,NNW
227,4/28/2020 2:00,NNW
228,4/28/2020 3:00,NNW
229,4/28/2020 4:00,NNW
230,4/28/2020 5:00,NNW
231,4/28/2020 6:00,NNW
232,4/28/2020 7:00,NNW
233,4/28/2020 8:00,NNW
234,4/28/2020 9:00,NNW
235,4/28/2020 10:00,NNW
236,4/28/2020 11:00,NNW
237,4/29/2020 0:00,NNW
238,4/29/2020 1:00,NNW
239,4/29/2020 2:00,NNW
240,4/29/2020 3:00,NNW
241,4/29/2020 4:00,NNW
242,4/29/2020 5:00,NNW
243,4/29/2020 6:00,NNW
244,4/29/2020 7:00,NNW
245,4/29/2020 8:00,NNW
246,4/29/2020 9:00,NNW
247,4/29/2020 10:00,NNW
248,4/29/2020 11:00,NNW
249,4/30/2020 0:00,NNW
250,4/30/2020 1:00,NNW
251,4/30/2020 2:00,NNW
252,4/30/2020 3:00,NNW
253,4/30/2020 4:00,NNW
254,4/30/2020 5:00,NNW
255,4/30/2020 6:00,NNW
256,4/30/2020 7:00,NNW
257,4/30/2020 8:00,NNW
258,4/30/2020 9:00,NNW
259,4/30/2020 10:00,NNW
260,4/30/2020 11:00,NNW
261,5/1/2020 0:00,NNW
262,5/1/2020 1:00,NNW
263,5/1/2020 2:00,NNW
264,5/1/2020 3:00,NNW
265,5/1/2020 4:00,NNW
266,5/1/2020 5:00,NNW
267,5/1/2020 6:00,NNW
268,5/1/2020 7:00,NNW
269,5/1/2020 8:00,NNW
270,5/1/2020 9:00,NNW
271,5/1/2020 10:00,NNW
272,5/1/2020 11:00,NNW
273,5/2/2020 0:00,NNW
274,5/2/2020 1:00,NNW
275,5/2/2020 2:00,NNW
276,5/2/2020 3:00,NNW
277,5/2/2020 4:00,NNW
278,5/2/2020 5:00,NNW
279,5/2/2020 6:00,NNW
280,5/2/2020 7:00,NNW
281,5/2/2020 8:00,NNW
282,5/2/2020 9:00,NNW
283,5/2/2020 10:00,NNW
284,5/2/2020 11:00,NNW
