-BEGIN HEADER-
NASA/POWER CERES/MERRA2 Native Resolution Daily Data 
Dates (month/day/year): 01/01/2012 through 01/01/2022 
Location: Latitude  39.092   Longitude -94.6496 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 269.7 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
T2M       MERRA-2 Temperature at 2 Meters (C) 
WS10M     MERRA-2 Wind Speed at 10 Meters (m/s) 
WD10M     MERRA-2 Wind Direction at 10 Meters (Degrees) 
-END HEADER-
YEAR,MO,DY,T2M,WS10M,WD10M
2012,1,1,1.84,8.61,312.88
2012,1,2,-3.71,6.44,291.44
2012,1,3,-0.43,5.72,175.88
2012,1,4,2.22,5.09,292.88
2012,1,5,4.95,5.31,229.06
2012,1,6,5.98,5.78,277.44
2012,1,7,2.3,3.07,151.25
2012,1,8,0.98,3.3,61.69
2012,1,9,1.57,2.65,216.56
2012,1,10,3.83,2.41,222.31
2012,1,11,1.9,6.6,284.69
2012,1,12,-6.56,9.76,316.06
2012,1,13,-6.13,4.56,272.19
2012,1,14,-0.94,5.13,267.56
2012,1,15,3.09,7.8,183.62
2012,1,16,7.01,6.61,245.0
2012,1,17,-3.9,7.09,323.31
2012,1,18,-2.6,5.98,193.12
2012,1,19,-4.35,5.61,95.31
2012,1,20,-6.77,5.84,78.44
2012,1,21,-5.23,4.95,86.69
2012,1,22,2.74,7.4,190.75
2012,1,23,1.0,6.51,289.88
2012,1,24,1.39,3.5,131.06
2012,1,25,1.64,3.09,133.62
2012,1,26,2.18,4.34,266.12
2012,1,27,-0.4,3.42,194.75
2012,1,28,-0.14,5.7,273.69
2012,1,29,2.06,4.37,250.75
2012,1,30,7.05,7.7,207.0
2012,1,31,10.26,6.51,252.69
2012,2,1,7.94,1.98,201.88
2012,2,2,6.33,3.34,164.88
2012,2,3,6.15,7.46,84.69
2012,2,4,3.83,5.15,232.56
2012,2,5,1.36,4.34,277.25
2012,2,6,2.27,2.72,276.06
2012,2,7,2.1,3.7,225.88
2012,2,8,-0.52,2.85,265.56
2012,2,9,0.28,2.8,185.38
2012,2,10,-3.21,7.9,316.69
2012,2,11,-7.6,5.81,301.94
2012,2,12,-5.12,3.28,238.75
2012,2,13,-0.38,6.04,183.06
2012,2,14,0.79,3.42,225.12
2012,2,15,2.42,2.91,223.5
2012,2,16,3.0,3.49,285.75
2012,2,17,4.55,4.01,197.19
2012,2,18,0.59,4.45,38.06
2012,2,19,1.9,2.77,98.69
2012,2,20,4.71,8.11,160.56
2012,2,21,4.37,6.33,255.31
2012,2,22,6.59,4.4,248.19
2012,2,23,7.7,7.38,248.5
2012,2,24,1.83,7.84,299.62
2012,2,25,0.8,4.36,247.56
2012,2,26,8.23,8.17,236.56
2012,2,27,2.01,4.27,143.69
2012,2,28,11.06,8.56,161.38
2012,2,29,7.51,9.05,272.75
2012,3,1,8.35,4.98,198.94
2012,3,2,3.8,6.7,254.12
2012,3,3,1.16,5.95,299.62
2012,3,4,4.93,6.38,290.5
2012,3,5,4.77,5.11,192.31
2012,3,6,14.55,12.38,196.06
2012,3,7,15.22,10.6,227.75
2012,3,8,2.87,5.73,295.88
2012,3,9,5.68,3.2,166.25
2012,3,10,8.06,5.09,190.5
2012,3,11,8.98,5.26,174.94
2012,3,12,13.6,6.18,224.94
2012,3,13,15.82,4.66,187.81
2012,3,14,19.94,8.37,202.94
2012,3,15,19.52,5.26,205.12
2012,3,16,20.1,6.13,196.62
2012,3,17,19.65,7.11,182.81
2012,3,18,19.65,8.35,184.88
2012,3,19,18.64,8.64,166.62
2012,3,20,16.04,3.71,213.12
2012,3,21,13.64,3.17,132.12
2012,3,22,13.01,3.68,141.88
2012,3,23,12.23,3.77,139.69
2012,3,24,15.24,4.4,310.5
2012,3,25,17.01,2.25,184.25
2012,3,26,18.37,4.96,169.19
2012,3,27,19.85,6.9,211.19
2012,3,28,19.23,2.62,158.94
2012,3,29,20.31,6.45,180.38
2012,3,30,19.03,3.27,231.5
2012,3,31,19.3,4.05,189.0
2012,4,1,22.15,6.15,197.62
2012,4,2,22.35,6.53,190.81
2012,4,3,17.68,2.61,185.62
2012,4,4,14.84,4.97,59.62
2012,4,5,11.4,5.02,59.69
2012,4,6,10.63,4.47,105.94
2012,4,7,11.35,5.07,251.88
2012,4,8,11.15,2.62,134.69
2012,4,9,13.46,2.6,180.25
2012,4,10,9.97,3.97,112.62
2012,4,11,7.73,3.93,65.75
2012,4,12,8.92,5.42,139.88
2012,4,13,17.12,6.35,185.06
2012,4,14,19.83,6.02,213.0
2012,4,15,18.7,11.01,202.25
2012,4,16,12.99,6.16,284.94
2012,4,17,14.59,3.66,136.25
2012,4,18,17.21,6.14,195.81
2012,4,19,16.97,7.32,213.81
2012,4,20,9.76,6.41,268.12
2012,4,21,11.18,2.4,201.12
2012,4,22,10.84,6.55,257.94
2012,4,23,11.61,3.38,273.88
2012,4,24,17.6,5.7,220.19
2012,4,25,22.6,5.8,252.5
2012,4,26,19.41,4.3,38.5
2012,4,27,15.47,9.77,119.81
2012,4,28,17.55,4.53,151.94
2012,4,29,14.55,4.86,111.5
2012,4,30,15.39,2.38,179.81
2012,5,1,21.98,7.07,192.44
2012,5,2,23.77,7.86,193.88
2012,5,3,24.11,5.91,184.69
2012,5,4,24.3,4.91,183.81
2012,5,5,23.92,4.25,164.12
