YEAR,MO,DY,T2M,WS10M,WD10M
2021,12,21,-0.72,3.67,223.56
2021,12,22,1.23,4.41,187.75
2021,12,23,5,5.62,210.75
2021,12,24,13.26,6.66,218.38
2021,12,25,7.04,3.08,252.19
2021,12,26,8.58,6.37,137.25
2021,12,27,5.78,4.79,232.19
2021,12,28,5.79,6.84,235.12
2021,12,29,-2.81,4.95,48.81
2021,12,30,0.05,2.54,195.88
2021,12,31,3.78,4.75,199.62
2022,1,1,-7.02,8.86,43.56
2022,1,2,-10.81,4.59,308.56
2022,1,3,-4.52,4.31,194.94
2022,1,4,0.7,8.48,214.19
2022,1,5,-7.12,7.73,323
2022,1,6,-11.27,5.66,339.5
2022,1,7,-8.62,3.52,130.44
2022,1,8,-0.03,6.59,196.56
2022,1,9,-3.82,5.75,211
2022,1,10,-2.53,3.34,219.38
2022,1,11,1.94,6.88,205.38
2022,1,12,2.03,4.05,261.06
2022,1,13,3.34,4.55,266.62
2022,1,14,2.16,3.23,113.38
2022,1,15,-3.17,7.91,65.06
2022,1,16,-3.97,3.98,231.44
2022,1,17,0.12,4.5,257.19
2022,1,18,2.85,5.6,221.31
2022,1,19,-5.19,9.17,63.56
2022,1,20,-11.92,4.65,153.69
2022,1,21,-9.6,3.42,154.69
2022,1,22,-0.88,4.58,243.62
2022,1,23,-0.08,5.24,208.5
2022,1,24,1.51,6.51,205.94
2022,1,25,-8.2,4.94,23.81
2022,1,26,-6.95,3.71,157.62
2022,1,27,-0.76,4.79,286.62
2022,1,28,-5.2,4.52,292.62
2022,1,29,-1.1,5.04,239.88
2022,1,30,0.09,3.55,239.38
2022,1,31,3.66,5.12,178.81
2022,2,1,3.29,6.54,119.81
2022,2,2,-6.77,10.14,24.31
2022,2,3,-9.82,7.73,22.25
2022,2,4,-7.31,4.26,241.75
2022,2,5,-3.93,6.1,172.56
2022,2,6,-0.82,4.45,274.69
2022,2,7,1.37,4.52,252.69
2022,2,8,3.58,5.62,251.56
2022,2,9,3.71,5.8,306.75
2022,2,10,3.16,5.18,275.94
2022,2,11,5.19,8.25,305.88
2022,2,12,-5.45,5.28,294.38
2022,2,13,-3.14,5.1,221.31
2022,2,14,0.25,3.96,194.81
2022,2,15,6.62,8.25,159.5
2022,2,16,11.52,9.71,213.25
2022,2,17,-5.52,8.73,157.62
2022,2,18,-3.33,7.07,224.31
2022,2,19,-2.27,4.82,138.12
2022,2,20,6.05,8.46,207.12
2022,2,21,9.53,6.62,211.5
2022,2,22,-4.99,8.87,315.19
2022,2,23,-9.26,6.06,117.69
2022,2,24,-6.88,4.38,175.25
2022,2,25,-7.2,3.55,256.94
2022,2,26,-2.3,1.7,184.06
2022,2,27,1.84,3.3,273.94
2022,2,28,4.54,3.55,243.44
2022,3,1,9.68,4.3,238.12
2022,3,2,12.8,4.7,196.75
2022,3,3,6.75,6.55,68.56
2022,3,4,10.17,6.34,147.56
2022,3,5,14.27,9.7,213.38
2022,3,6,1.24,5.45,267.69
2022,3,7,-2.61,5.09,306.5
2022,3,8,-0.74,2.21,224.06
2022,3,9,0.55,4.69,114
2022,3,10,-3.57,5.73,46.19
2022,3,11,-3.81,5.88,330.75
2022,3,12,-5.07,4.82,260.56
2022,3,13,5.67,6.83,209.88
2022,3,14,9.4,5.47,194.56
2022,3,15,10.73,2.36,291.62
2022,3,16,13.3,5.22,195.19
2022,3,17,15.17,5.21,128.69
2022,3,18,5.9,8.6,209.88
2022,3,19,8.12,4.09,275.06
2022,3,20,13.39,6.14,187.44
2022,3,21,13.24,6.41,149.81
2022,3,22,11.17,6.05,239.81
2022,3,23,3.98,8.32,319.5
2022,3,24,3.92,4.59,303.69
2022,3,25,5.47,6.2,301.19
2022,3,26,4.96,4.77,257.69
2022,3,27,3.05,4.27,53.25
2022,3,28,6.02,6.62,97.62
2022,3,29,13.6,8.78,154.56
2022,3,30,8.71,7.8,291.44
2022,3,31,2.52,5.16,280.25
2022,4,1,6.3,3.12,164.12
2022,4,2,9.73,5.19,233.88
2022,4,3,11.29,5.12,195.38
2022,4,4,9.05,3.59,141.75
2022,4,5,13.17,5.98,216.44
2022,4,6,9.31,7.59,271.75
2022,4,7,5.33,8.98,298.44
2022,4,8,3.77,7.5,323.5
2022,4,9,7.54,3.81,229.69
2022,4,10,14.43,7.54,221.31
2022,4,11,11.12,3.05,86
2022,4,12,18,10.44,164.75
2022,4,13,7.8,7.4,302.44
2022,4,14,7.32,6.12,251.56
2022,4,15,9.14,4.12,163.31
2022,4,16,6.65,5.25,30.88
2022,4,17,3.69,4.84,68.5
2022,4,18,5.15,5.34,278.31
2022,4,19,7.13,4.75,121.06
2022,4,20,13.09,7.23,195.38
2022,4,21,15.94,4.91,113.19
2022,4,22,21.76,9.62,179.06
2022,4,23,20.55,11.2,193.38
2022,4,24,13.92,4.8,302.81
2022,4,25,9.17,5.7,287.12
2022,4,26,9.77,2.66,156.69
2022,4,27,15.12,6.48,189.44
2022,4,28,16.26,6.03,169.44
2022,4,29,18.47,7.14,165.5
2022,4,30,15.51,8.33,256.75
2022,5,1,13.27,5.3,264.38
2022,5,2,12.65,6.05,114.81
2022,5,3,10.28,5.57,233.56
2022,5,4,11.05,4.27,87.62
2022,5,5,14.08,3.75,72.19
2022,5,6,14.73,3.41,136.75
2022,5,7,15.63,5.22,115.94
2022,5,8,18.62,7.95,149.31
2022,5,9,24.78,8.82,178.75
2022,5,10,25.61,6.81,189.62
2022,5,11,25.27,4.34,181.88
2022,5,12,25.36,5.62,184.94
2022,5,13,21.78,3.38,229.81
2022,5,14,23.66,2.12,144.69
2022,5,15,19.01,3.61,148
2022,5,16,19.36,2.28,270.38
2022,5,17,20.68,4.55,180.38
2022,5,18,22.76,3.41,247.88
2022,5,19,22.73,4.92,182.81
2022,5,20,20.48,5.11,241.69
2022,5,21,12.34,5.29,193.94
2022,5,22,12.72,3.8,148
2022,5,23,13.61,4.1,100.5
2022,5,24,15.05,5.85,103.06
2022,5,25,18.02,5.17,151.12
2022,5,26,14.3,4.12,248.56
2022,5,27,16.8,3.43,271.12
2022,5,28,21.12,6.64,170.06
2022,5,29,23.47,8.87,172.88
2022,5,30,24.44,9.82,187.12
2022,5,31,22.35,4.17,216.56
2022,6,1,17.16,4.48,194.94
2022,6,2,17.65,2.96,284.19
