DATE,DAILY PM2.5 AVG
10/14/20,4.432
10/15/20,1.377
10/16/20,9.007
10/17/20,6.134
10/18/20,8.89
10/19/20,7.84
10/20/20,24.996
10/21/20,37.808
10/22/20,19.379
10/23/20,3.993
10/24/20,11.804
10/25/20,15.658
10/26/20,14.327
10/27/20,14.939
10/28/20,18.436
10/29/20,12.846
10/30/20,13.911
10/31/20,8.074
11/1/20,4.161
11/2/20,27.279
11/3/20,12.47
11/4/20,6.13
11/5/20,9.663
11/6/20,42.786
11/7/20,20.487
11/8/20,15.471
11/9/20,10.259
11/10/20,7.198
11/11/20,12.608
11/12/20,10.346
11/13/20,17.446
11/14/20,18.843
11/15/20,0.704
11/16/20,10.408
11/17/20,19.401
11/18/20,8.472
11/19/20,9.013
11/20/20,16.411
11/21/20,17.865
11/22/20,11.619
11/23/20,24.053
11/24/20,12.904
11/25/20,12.587
11/26/20,18.941
11/27/20,17.026
11/28/20,21.89
11/29/20,7.258
11/30/20,3.048
12/1/20,32.568
12/2/20,16.483
12/3/20,20.344
12/4/20,31.747
12/5/20,21.201
12/6/20,37.655
12/7/20,39.412
12/8/20,47.35
12/9/20,18.739
12/10/20,37.898
12/11/20,41.93
12/12/20,17.365
12/13/20,15.06
12/14/20,25.432
12/15/20,26.85
12/16/20,38.684
12/17/20,27.831
12/18/20,20.929
12/19/20,23.045
12/20/20,35.238
12/21/20,3.951
12/22/20,17.384
12/23/20,5.116
12/24/20,2.006
12/25/20,21.062
12/26/20,23.607
12/27/20,11.158
12/28/20,19.408
12/29/20,44.704
12/30/20,14.715
12/31/20,37.559
1/1/21,28.466
1/2/21,61.98
1/3/21,68.502
1/4/21,28.607
1/5/21,60.62
1/6/21,20.518
1/7/21,32.825
1/8/21,37.069
1/9/21,35.053
1/10/21,46.166
1/11/21,36.692
1/12/21,36.712
1/13/21,17.347
1/14/21,5.597
1/15/21,1.217
1/16/21,4.878
1/17/21,9.009
1/18/21,18.249
1/19/21,17.62
1/20/21,8.382
1/21/21,8.732
1/22/21,5.231
1/23/21,16.034
1/24/21,19.781
1/25/21,27.24
1/26/21,19.271
1/27/21,20.091
1/28/21,19.004
1/29/21,25.301
1/30/21,18.169
1/31/21,32.183
2/1/21,27.625
2/2/21,32.443
2/3/21,28.823
2/4/21,14.542
2/5/21,10.771
2/6/21,8.928
2/7/21,9.863
2/8/21,9.216
2/9/21,13.909
2/10/21,12.649
2/11/21,13.323
2/12/21,11.297
2/13/21,4.967
2/14/21,6.81
2/15/21,4.472
2/16/21,10.741
2/17/21,18.042
2/18/21,28.812
2/19/21,48.513
2/20/21,44.352
2/21/21,25.697
2/22/21,14.141
2/23/21,10.562
2/24/21,14.348
2/25/21,18.754
2/26/21,20.744
2/27/21,28.232
2/28/21,13.376
3/1/21,15.288
3/2/21,15.246
3/3/21,8.633
3/4/21,42.686
3/5/21,16.483
3/6/21,27.201
3/7/21,23.049
3/8/21,19.596
3/9/21,63.144
3/10/21,20.101
3/11/21,5.136
3/12/21,11.791
3/13/21,13.303
3/14/21,12.792
3/15/21,13.097
3/16/21,29.976
3/17/21,16.196
3/18/21,16.6
3/19/21,6.865
3/20/21,8.986
3/21/21,16.856
3/22/21,37.223
3/23/21,18.039
3/24/21,2.567
3/25/21,9.527
3/26/21,17.956
3/27/21,11.526
3/28/21,8.191
3/29/21,21.118
3/30/21,12.828
3/31/21,3.893
4/1/21,8.741
4/2/21,32.9
4/3/21,35.098
4/4/21,37.232
4/5/21,15.703
4/6/21,15.619
4/7/21,15.346
4/8/21,2.462
4/9/21,10.729
4/10/21,7.304
4/11/21,8.925
4/12/21,9.451
4/13/21,7.327
4/14/21,7.755
4/15/21,11.416
4/16/21,16.908
4/17/21,33.435
4/18/21,11.412
4/19/21,16.192
4/20/21,9.478
4/21/21,12.743
4/22/21,20.551
4/23/21,18.089
4/24/21,34.29
4/25/21,33.526
4/26/21,9.619
4/27/21,9.04
4/28/21,24.327
4/29/21,21.57
4/30/21,9.821
5/1/21,7.788
5/2/21,12.315
5/3/21,14.628
5/4/21,8.49
5/5/21,11.357
5/6/21,12.173
5/7/21,12.357
5/8/21,16.428
5/9/21,5.328
5/10/21,14.619
5/11/21,19.477
5/12/21,7.302
5/13/21,15.552
5/14/21,8.107
5/15/21,10.26
5/16/21,17.844
5/17/21,15.271
5/18/21,10.526
5/19/21,11.264
5/20/21,10.654
5/21/21,7.657
5/22/21,10.339
5/23/21,16.637
5/24/21,23.859
5/25/21,12.452
5/26/21,11.887
5/27/21,9.163
5/28/21,6.636
5/29/21,3.578
5/30/21,11.69
5/31/21,21.713
6/1/21,20.486
6/2/21,19.371
6/3/21,22.7
6/4/21,14.335
6/5/21,10.222
6/6/21,13.884
6/7/21,8.651
6/8/21,10.494
6/9/21,17.88
6/10/21,16.057
6/11/21,16.094
6/12/21,9.14
6/13/21,11.572
6/14/21,11.192
6/15/21,9.446
6/16/21,12.322
6/17/21,17.127
6/18/21,15.544
6/19/21,28.431
6/20/21,27.802
6/21/21,5.759
6/22/21,8.072
6/23/21,9.659
6/24/21,25.878
6/25/21,13.753
6/26/21,4.943
6/27/21,15.677
6/28/21,21.113
6/29/21,9.142
6/30/21,11.227
7/1/21,13.034
7/2/21,23.294
7/3/21,36.573
7/4/21,36.115
7/5/21,70.355
7/6/21,17.81
7/7/21,22.946
7/8/21,14.35
7/9/21,17.842
7/10/21,9.217
7/11/21,13.453
7/12/21,16.344
7/13/21,21.239
7/14/21,14.943
7/15/21,9.498
7/16/21,12.253
7/17/21,17.818
7/18/21,24.041
7/19/21,27.141
7/20/21,30.252
7/21/21,35.648
7/22/21,46.396
7/23/21,48.156
7/24/21,17.708
7/25/21,20.347
7/26/21,38.834
7/27/21,39.117
7/28/21,32.962
7/29/21,21.767
7/30/21,25.445
7/31/21,21.742
8/1/21,69.555
8/2/21,93.083
8/3/21,35.878
8/4/21,33.625
8/5/21,37.792
8/6/21,39.793
8/7/21,34.856
8/8/21,22.737
8/9/21,13.53
8/10/21,16.97
