date,pollutant,ws,wd
2020-10-14,4.432,6.88,254.44
2020-10-15,1.377,4.83,339.38
2020-10-16,9.007,4.05,258.5
2020-10-17,6.134,7.95,200
2020-10-18,8.89,6.08,92
2020-10-19,7.84,4.87,63.25
2020-10-20,24.996,3.41,177.81
2020-10-21,37.808,2.52,75.94
2020-10-22,19.379,7.81,205.94
2020-10-23,3.993,7.03,231.5
2020-10-24,11.804,3.95,62
2020-10-25,15.658,4.52,93.62
2020-10-26,14.327,5.48,86.44
2020-10-27,14.939,2.1,106.25
2020-10-28,18.436,2.5,102.06
2020-10-29,12.846,6.2,191.88
2020-10-30,13.911,3.69,170.44
2020-10-31,8.074,6.64,230.38
2020-11-01,4.161,4.7,254.38
2020-11-02,27.279,4.62,212.5
2020-11-03,12.47,5.06,208.75
2020-11-04,6.13,5.93,200.25
2020-11-05,9.663,3.74,206.94
2020-11-06,42.786,4.8,195.38
2020-11-07,20.487,6.13,181.75
2020-11-08,15.471,7.43,170.06
2020-11-09,10.259,7.4,182.88
2020-11-10,7.198,6.98,256.56
2020-11-11,12.608,1.88,203.75
2020-11-12,10.346,4.84,227.81
2020-11-13,17.446,3.12,190.38
2020-11-14,18.843,8.71,210
2020-11-15,0.704,7.77,282.06
2020-11-16,10.408,4.9,273.81
2020-11-17,19.401,4.14,108.12
2020-11-18,8.472,9.02,186.56
2020-11-19,9.013,9.31,205.5
2020-11-20,16.411,5.1,106.5
2020-11-21,17.865,5.86,54.88
2020-11-22,11.619,3.49,244.56
2020-11-23,24.053,3.82,132.19
2020-11-24,12.904,5.6,174.88
2020-11-25,12.587,4.36,265.44
2020-11-26,18.941,2.95,168.06
2020-11-27,17.026,3.67,284.69
2020-11-28,21.89,3.97,240.69
2020-11-29,7.258,7.19,307.56
2020-11-30,3.048,4.63,314.25
2020-12-01,32.568,3.77,149.44
2020-12-02,16.483,3.12,99.69
2020-12-03,20.344,1.95,267.81
2020-12-04,31.747,3.89,274.12
2020-12-05,21.201,3.51,325.56
2020-12-06,37.655,4.02,271.56
2020-12-07,39.412,2.34,263.81
2020-12-08,47.35,3.02,253.81
2020-12-09,18.739,3.3,223.38
2020-12-10,37.898,2.5,193.38
2020-12-11,41.93,2.45,239.44
2020-12-12,17.365,4.8,319.94
2020-12-13,15.06,3.17,336.31
2020-12-14,25.432,3.02,161.38
2020-12-15,26.85,4.54,67.5
2020-12-16,38.684,2.12,241.12
2020-12-17,27.831,3.37,218
2020-12-18,20.929,6.59,190.38
2020-12-19,23.045,3.41,292.19
2020-12-20,35.238,4.2,255
2020-12-21,3.951,5.6,289.81
2020-12-22,17.384,7.41,157.19
2020-12-23,5.116,12.08,262.19
2020-12-24,2.006,7.61,322.19
2020-12-25,21.062,4.45,265.81
2020-12-26,23.607,3.56,200.75
2020-12-27,11.158,5.69,265.81
2020-12-28,19.408,3.34,242.56
2020-12-29,44.704,6.2,141.56
2020-12-30,14.715,4.66,305.62
2020-12-31,37.559,3.75,104.62
2021-01-01,28.466,6.8,187.56
2021-01-02,61.98,2.1,293.19
2021-01-03,68.502,3.04,191.88
2021-01-04,28.607,3.67,264.19
2021-01-05,60.62,3.51,189.81
2021-01-06,20.518,4.5,126
2021-01-07,32.825,4.76,53.06
2021-01-08,37.069,3.06,54.88
2021-01-09,35.053,2.47,223.62
2021-01-10,46.166,2.43,255.25
2021-01-11,36.692,4.13,240.31
2021-01-12,36.712,5.2,228.19
2021-01-13,17.347,5.91,213.69
2021-01-14,5.597,8.9,286.44
2021-01-15,1.217,11.14,304.56
2021-01-16,4.878,4.92,303.5
2021-01-17,9.009,4.8,305.25
2021-01-18,18.249,2.2,157.19
2021-01-19,17.62,4.3,289.06
2021-01-20,8.382,5.99,226.5
2021-01-21,8.732,3.81,216.25
2021-01-22,5.231,3.82,27.25
2021-01-23,16.034,5.45,133.75
2021-01-24,19.781,3.55,122.38
2021-01-25,27.24,6.16,73.25
2021-01-26,19.271,4.34,204.25
2021-01-27,20.091,3.36,34.25
2021-01-28,19.004,4.01,150
2021-01-29,25.301,5.83,173.19
2021-01-30,18.169,6.23,189.25
2021-01-31,32.183,8.81,327.25
2021-02-01,27.625,3.84,264.62
2021-02-02,32.443,3.14,117
2021-02-03,28.823,5.85,158.94
2021-02-04,14.542,7.86,258.12
2021-02-05,10.771,4.45,224.25
2021-02-06,8.928,6,41.19
2021-02-07,9.863,4.86,66.69
2021-02-08,9.216,5.17,29.56
